rangetime(ms),tag_ID,x(m),y(m),z(m),range0(m),range1(m),range2(m),range3(m),range4(m),range5(m),range6(m),range7(m),rx_pwr(dBm),accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll,pitch,yaw,
2026-01-21 15:37:29.946,Tag 1,2.258,0.890,1.075,2.67,1.57,null,2.92,2.35,2.32,2.31,2.91,-78.65,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:29.996,Tag 1,2.258,0.890,1.075,2.67,1.57,null,2.92,2.35,2.32,2.31,2.91,-78.65,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.046,Tag 1,2.267,0.906,1.051,2.67,1.56,2.13,2.92,2.35,2.23,2.30,2.91,-78.54,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.096,Tag 1,2.267,0.906,1.051,2.67,1.56,2.13,2.92,2.35,2.23,2.30,2.91,-78.54,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.145,Tag 1,2.273,0.901,1.045,2.66,1.55,2.13,2.92,2.35,2.30,2.31,2.91,-78.57,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.195,Tag 1,2.273,0.901,1.045,2.66,1.55,2.13,2.92,2.35,2.30,2.31,2.91,-78.57,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.245,Tag 1,2.279,0.896,1.041,2.67,1.54,2.12,2.91,2.35,2.36,2.31,2.91,-78.48,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.295,Tag 1,2.279,0.896,1.041,2.67,1.54,2.12,2.91,2.35,2.36,2.31,2.91,-78.48,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.345,Tag 1,2.281,0.893,1.035,2.67,null,2.13,2.91,2.35,2.43,2.32,2.91,-78.35,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.396,Tag 1,2.281,0.893,1.035,2.67,null,2.13,2.91,2.35,2.43,2.32,2.91,-78.35,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.446,Tag 1,2.264,0.915,1.055,2.68,1.54,2.13,2.91,2.35,2.46,2.32,2.90,-78.46,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.496,Tag 1,2.264,0.915,1.055,2.68,1.54,2.13,2.91,2.35,2.46,2.32,2.90,-78.46,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.545,Tag 1,2.268,0.911,1.051,2.67,1.53,2.12,2.90,2.35,2.50,2.31,2.90,-78.61,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.596,Tag 1,2.268,0.911,1.051,2.67,1.53,2.12,2.90,2.35,2.50,2.31,2.90,-78.61,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.645,Tag 1,2.271,0.889,1.067,2.68,1.53,2.11,2.90,2.36,2.50,2.32,2.91,-78.62,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.696,Tag 1,2.271,0.889,1.067,2.68,1.53,2.11,2.90,2.36,2.50,2.32,2.91,-78.62,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.746,Tag 1,2.274,0.888,1.065,2.68,1.54,2.11,2.90,2.36,2.53,2.33,2.90,-78.51,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.795,Tag 1,2.274,0.888,1.065,2.68,1.54,2.11,2.90,2.36,2.53,2.33,2.90,-78.51,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.846,Tag 1,2.276,0.891,1.064,2.67,1.55,2.12,2.90,2.36,2.55,2.34,2.90,-78.40,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.895,Tag 1,2.276,0.891,1.064,2.67,1.55,2.12,2.90,2.36,2.55,2.34,2.90,-78.40,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.945,Tag 1,2.277,0.892,1.063,2.68,1.54,2.12,2.90,2.37,2.57,2.33,2.91,-78.64,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:30.996,Tag 1,2.277,0.892,1.063,2.68,1.54,2.12,2.90,2.37,2.57,2.33,2.91,-78.64,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.045,Tag 1,2.300,0.868,1.042,2.67,1.54,2.12,2.90,null,2.60,2.32,2.90,-78.59,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.094,Tag 1,2.300,0.868,1.042,2.67,1.54,2.12,2.90,null,2.60,2.32,2.90,-78.59,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.144,Tag 1,2.299,0.869,1.043,2.67,1.55,2.13,2.89,2.36,2.60,2.32,2.90,-78.55,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.195,Tag 1,2.299,0.869,1.043,2.67,1.55,2.13,2.89,2.36,2.60,2.32,2.90,-78.55,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.245,Tag 1,2.300,0.870,1.045,2.67,1.55,2.12,2.89,2.36,2.58,2.33,2.90,-78.53,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.296,Tag 1,2.300,0.870,1.045,2.67,1.55,2.12,2.89,2.36,2.58,2.33,2.90,-78.53,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.347,Tag 1,2.297,0.871,1.047,2.66,1.55,2.13,2.88,2.37,2.60,2.33,2.90,-78.47,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.396,Tag 1,2.297,0.871,1.047,2.66,1.55,2.13,2.88,2.37,2.60,2.33,2.90,-78.47,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.445,Tag 1,2.295,0.869,1.047,2.66,1.55,2.12,2.88,2.37,null,2.34,2.90,-78.53,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.495,Tag 1,2.295,0.869,1.047,2.66,1.55,2.12,2.88,2.37,null,2.34,2.90,-78.53,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.546,Tag 1,2.292,0.869,1.045,2.66,1.54,2.12,2.89,2.37,2.60,2.33,2.90,-78.49,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.596,Tag 1,2.292,0.869,1.045,2.66,1.54,2.12,2.89,2.37,2.60,2.33,2.90,-78.49,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.645,Tag 1,2.289,0.869,1.043,2.66,1.54,2.13,2.88,2.36,2.57,2.33,2.90,-78.31,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.696,Tag 1,2.289,0.869,1.043,2.66,1.54,2.13,2.88,2.36,2.57,2.33,2.90,-78.31,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.746,Tag 1,2.289,0.868,1.041,2.66,1.53,2.13,2.89,2.37,2.56,2.33,2.90,-78.43,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.795,Tag 1,2.289,0.868,1.041,2.66,1.53,2.13,2.89,2.37,2.56,2.33,2.90,-78.43,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.846,Tag 1,2.287,0.867,1.038,2.66,1.53,2.12,2.89,2.35,2.54,2.33,2.89,-78.46,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.894,Tag 1,2.287,0.867,1.038,2.66,1.53,2.12,2.89,2.35,2.54,2.33,2.89,-78.46,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.945,Tag 1,2.288,0.864,1.034,2.66,1.52,2.13,2.89,2.34,2.51,2.33,2.89,-78.39,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:31.995,Tag 1,2.288,0.864,1.034,2.66,1.52,2.13,2.89,2.34,2.51,2.33,2.89,-78.39,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:32.046,Tag 1,2.288,0.862,1.030,2.67,1.52,2.13,2.90,2.34,2.55,2.33,2.89,-78.36,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:37:32.096,Tag 1,2.288,0.862,1.030,2.67,1.52,2.13,2.90,2.34,2.55,2.33,2.89,-78.36,0,0,0,0,0,0,0,0,0,0,0,0,,
