时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号
37:38.5,0.5,焊把钳下端,3.02,1.15,1.56,2.586,1.12,1.721,T1
37:38.6,0.5,焊把钳下端,3.02,1.15,1.56,2.666,1.076,1.737,T1
37:38.7,0.5,焊把钳下端,3.02,1.15,1.56,2.707,1.034,1.744,T1
37:38.8,0.5,焊把钳下端,3.02,1.15,1.56,2.73,0.993,1.74,T1
37:38.9,0.5,焊把钳下端,3.02,1.15,1.56,2.721,0.948,1.721,T1
37:39.0,0.5,焊把钳下端,3.02,1.15,1.56,2.682,0.911,1.696,T1
37:39.1,0.5,焊把钳下端,3.02,1.15,1.56,2.636,0.876,1.667,T1
37:39.5,0.5,焊把钳下端,3.02,1.15,1.56,2.68,0.794,1.52,T1
37:39.6,0.5,焊把钳下端,3.02,1.15,1.56,2.751,0.784,1.487,T1
37:39.7,0.5,焊把钳下端,3.02,1.15,1.56,2.838,0.774,1.447,T1
37:39.8,0.5,焊把钳下端,3.02,1.15,1.56,2.931,0.769,1.41,T1
37:39.9,0.5,焊把钳下端,3.02,1.15,1.56,3.005,0.759,1.361,T1
37:40.0,0.5,焊把钳下端,3.02,1.15,1.56,3.072,0.75,1.309,T1
37:40.6,0.5,灭火器把手,2.84,0.69,0.5,3.155,0.711,0.872,T1
37:40.7,0.5,灭火器把手,2.84,0.69,0.5,3.162,0.702,0.808,T1
37:40.8,0.5,灭火器把手,2.84,0.69,0.5,2.634,0.445,0.821,T0
37:40.8,0.5,灭火器把手,2.84,0.69,0.5,3.165,0.692,0.75,T1
37:40.9,0.5,灭火器把手,2.84,0.69,0.5,2.684,0.464,0.774,T0
37:40.9,0.5,灭火器把手,2.84,0.69,0.5,3.167,0.681,0.7,T1
37:41.0,0.5,灭火器把手,2.84,0.69,0.5,2.721,0.481,0.732,T0
37:41.0,0.5,灭火器把手,2.84,0.69,0.5,3.167,0.671,0.66,T1
37:41.1,0.5,油箱顶部,2.86,0.42,0.25,2.751,0.495,0.697,T0
37:41.1,0.5,灭火器把手,2.84,0.69,0.5,2.751,0.495,0.697,T0
37:41.1,0.5,灭火器把手,2.84,0.69,0.5,3.183,0.658,0.62,T1
37:41.2,0.5,油箱顶部,2.86,0.42,0.25,2.764,0.517,0.692,T0
37:41.2,0.5,灭火器把手,2.84,0.69,0.5,2.764,0.517,0.692,T0
37:41.2,0.5,灭火器把手,2.84,0.69,0.5,3.192,0.65,0.583,T1
37:41.3,0.5,油箱顶部,2.86,0.42,0.25,2.769,0.54,0.703,T0
37:41.3,0.5,灭火器把手,2.84,0.69,0.5,2.769,0.54,0.703,T0
37:41.3,0.5,灭火器把手,2.84,0.69,0.5,3.194,0.648,0.559,T1
37:41.4,0.5,灭火器把手,2.84,0.69,0.5,2.765,0.565,0.729,T0
37:41.4,0.5,油箱顶部,2.86,0.42,0.25,3.189,0.654,0.54,T1
37:41.4,0.5,灭火器把手,2.84,0.69,0.5,3.189,0.654,0.54,T1
37:41.5,0.5,灭火器把手,2.84,0.69,0.5,2.748,0.594,0.772,T0
37:41.5,0.5,油箱顶部,2.86,0.42,0.25,3.172,0.668,0.53,T1
37:41.5,0.5,灭火器把手,2.84,0.69,0.5,3.172,0.668,0.53,T1
37:41.6,0.5,油箱顶部,2.86,0.42,0.25,2.759,0.581,0.665,T0
37:41.6,0.5,灭火器把手,2.84,0.69,0.5,2.759,0.581,0.665,T0
37:41.6,0.5,油箱顶部,2.86,0.42,0.25,3.144,0.681,0.535,T1
37:41.6,0.5,灭火器把手,2.84,0.69,0.5,3.144,0.681,0.535,T1
37:41.7,0.5,灭火器把手,2.84,0.69,0.5,2.718,0.61,0.726,T0
37:41.7,0.5,油箱顶部,2.86,0.42,0.25,3.093,0.701,0.565,T1
37:41.7,0.5,灭火器把手,2.84,0.69,0.5,3.093,0.701,0.565,T1
37:41.8,0.5,灭火器把手,2.84,0.69,0.5,2.678,0.626,0.771,T0
37:41.8,0.5,灭火器把手,2.84,0.69,0.5,3.045,0.726,0.617,T1
37:41.9,0.5,灭火器把手,2.84,0.69,0.5,2.634,0.643,0.813,T0
37:41.9,0.5,灭火器把手,2.84,0.69,0.5,3.001,0.749,0.686,T1
37:42.0,0.5,灭火器把手,2.84,0.69,0.5,2.587,0.659,0.853,T0
37:42.0,0.5,灭火器把手,2.84,0.69,0.5,2.962,0.77,0.777,T1
37:42.1,0.5,灭火器把手,2.84,0.69,0.5,2.541,0.675,0.884,T0
37:42.1,0.5,灭火器把手,2.84,0.69,0.5,2.923,0.78,0.88,T1
37:42.2,0.5,灭火器把手,2.84,0.69,0.5,2.886,0.785,0.985,T1
37:44.6,0.5,焊把钳下端,3.02,1.15,1.56,2.804,0.75,1.508,T1
37:44.7,0.5,焊把钳下端,3.02,1.15,1.56,2.868,0.74,1.445,T1
37:44.8,0.5,焊把钳下端,3.02,1.15,1.56,2.921,0.72,1.375,T1
37:45.4,0.5,灭火器把手,2.84,0.69,0.5,3.037,0.629,0.901,T1
37:45.5,0.5,灭火器把手,2.84,0.69,0.5,3.064,0.626,0.84,T1
37:45.6,0.5,灭火器把手,2.84,0.69,0.5,2.824,0.508,0.914,T0
37:45.6,0.5,灭火器把手,2.84,0.69,0.5,3.095,0.624,0.783,T1
37:45.7,0.5,灭火器把手,2.84,0.69,0.5,2.86,0.495,0.847,T0
37:45.7,0.5,灭火器把手,2.84,0.69,0.5,3.125,0.619,0.731,T1
37:45.8,0.5,灭火器把手,2.84,0.69,0.5,2.889,0.482,0.786,T0
37:45.8,0.5,灭火器把手,2.84,0.69,0.5,3.156,0.611,0.687,T1
37:45.9,0.5,油箱顶部,2.86,0.42,0.25,2.91,0.471,0.732,T0
37:45.9,0.5,灭火器把手,2.84,0.69,0.5,2.91,0.471,0.732,T0
37:45.9,0.5,灭火器把手,2.84,0.69,0.5,3.186,0.605,0.639,T1
37:46.0,0.5,油箱顶部,2.86,0.42,0.25,2.926,0.543,0.657,T0
37:46.0,0.5,灭火器把手,2.84,0.69,0.5,2.926,0.543,0.657,T0
37:46.0,0.5,灭火器把手,2.84,0.69,0.5,3.204,0.602,0.596,T1
37:46.1,0.5,油箱顶部,2.86,0.42,0.25,2.938,0.54,0.612,T0
37:46.1,0.5,灭火器把手,2.84,0.69,0.5,2.938,0.54,0.612,T0
37:46.1,0.5,油箱顶部,2.86,0.42,0.25,3.21,0.601,0.558,T1
37:46.1,0.5,灭火器把手,2.84,0.69,0.5,3.21,0.601,0.558,T1
37:46.2,0.5,油箱顶部,2.86,0.42,0.25,2.944,0.539,0.574,T0
37:46.2,0.5,灭火器把手,2.84,0.69,0.5,2.944,0.539,0.574,T0
37:46.2,0.5,油箱顶部,2.86,0.42,0.25,3.211,0.601,0.521,T1
37:46.2,0.5,灭火器把手,2.84,0.69,0.5,3.211,0.601,0.521,T1
37:46.3,0.5,油箱顶部,2.86,0.42,0.25,2.947,0.54,0.543,T0
37:46.3,0.5,灭火器把手,2.84,0.69,0.5,2.947,0.54,0.543,T0
37:46.3,0.5,油箱顶部,2.86,0.42,0.25,3.21,0.602,0.489,T1
37:46.3,0.5,灭火器把手,2.84,0.69,0.5,3.21,0.602,0.489,T1
37:46.4,0.5,油箱顶部,2.86,0.42,0.25,2.946,0.542,0.519,T0
37:46.4,0.5,灭火器把手,2.84,0.69,0.5,2.946,0.542,0.519,T0
37:46.4,0.5,油箱顶部,2.86,0.42,0.25,3.21,0.602,0.459,T1
37:46.4,0.5,灭火器把手,2.84,0.69,0.5,3.21,0.602,0.459,T1
37:46.5,0.5,油箱顶部,2.86,0.42,0.25,2.941,0.548,0.345,T0
37:46.5,0.5,灭火器把手,2.84,0.69,0.5,2.941,0.548,0.345,T0
37:46.5,0.5,油箱顶部,2.86,0.42,0.25,3.21,0.602,0.434,T1
37:46.5,0.5,灭火器把手,2.84,0.69,0.5,3.21,0.602,0.434,T1
37:46.6,0.5,油箱顶部,2.86,0.42,0.25,2.936,0.55,0.174,T0
37:46.6,0.5,灭火器把手,2.84,0.69,0.5,2.936,0.55,0.174,T0
37:46.6,0.5,油箱顶部,2.86,0.42,0.25,3.212,0.601,0.411,T1
37:46.6,0.5,灭火器把手,2.84,0.69,0.5,3.212,0.601,0.411,T1
37:46.7,0.5,油箱顶部,2.86,0.42,0.25,2.931,0.549,0.011,T0
37:46.7,0.5,油箱顶部,2.86,0.42,0.25,3.211,0.597,0.393,T1
37:46.7,0.5,灭火器把手,2.84,0.69,0.5,3.211,0.597,0.393,T1
37:46.8,0.5,油箱顶部,2.86,0.42,0.25,2.925,0.547,-0.147,T0
37:46.8,0.5,油箱顶部,2.86,0.42,0.25,3.209,0.579,0.394,T1
37:46.8,0.5,灭火器把手,2.84,0.69,0.5,3.209,0.579,0.394,T1
37:46.9,0.5,油箱顶部,2.86,0.42,0.25,3.208,0.575,0.379,T1
37:46.9,0.5,灭火器把手,2.84,0.69,0.5,3.208,0.575,0.379,T1
37:47.0,0.5,油箱顶部,2.86,0.42,0.25,3.207,0.569,0.366,T1
37:47.0,0.5,灭火器把手,2.84,0.69,0.5,3.207,0.569,0.366,T1
37:47.1,0.5,油箱顶部,2.86,0.42,0.25,3.208,0.565,0.355,T1
37:47.1,0.5,灭火器把手,2.84,0.69,0.5,3.208,0.565,0.355,T1
37:47.2,0.5,油箱顶部,2.86,0.42,0.25,3.203,0.563,0.352,T1
37:47.2,0.5,灭火器把手,2.84,0.69,0.5,3.203,0.563,0.352,T1
37:47.3,0.5,油箱顶部,2.86,0.42,0.25,3.199,0.563,0.347,T1
37:47.3,0.5,灭火器把手,2.84,0.69,0.5,3.199,0.563,0.347,T1
37:47.4,0.5,油箱顶部,2.86,0.42,0.25,3.193,0.578,0.33,T1
37:47.4,0.5,灭火器把手,2.84,0.69,0.5,3.193,0.578,0.33,T1
37:47.5,0.5,油箱顶部,2.86,0.42,0.25,3.187,0.572,0.348,T1
37:47.5,0.5,灭火器把手,2.84,0.69,0.5,3.187,0.572,0.348,T1
37:47.6,0.5,油箱顶部,2.86,0.42,0.25,3.186,0.576,0.352,T1
37:47.6,0.5,灭火器把手,2.84,0.69,0.5,3.186,0.576,0.352,T1
37:47.7,0.5,油箱顶部,2.86,0.42,0.25,3.182,0.58,0.365,T1
37:47.7,0.5,灭火器把手,2.84,0.69,0.5,3.182,0.58,0.365,T1
37:47.8,0.5,油箱顶部,2.86,0.42,0.25,2.877,0.558,-0.22,T0
37:47.8,0.5,油箱顶部,2.86,0.42,0.25,3.174,0.585,0.378,T1
37:47.8,0.5,灭火器把手,2.84,0.69,0.5,3.174,0.585,0.378,T1
37:47.9,0.5,油箱顶部,2.86,0.42,0.25,2.844,0.579,0.005,T0
37:47.9,0.5,油箱顶部,2.86,0.42,0.25,3.168,0.593,0.4,T1
37:47.9,0.5,灭火器把手,2.84,0.69,0.5,3.168,0.593,0.4,T1
37:48.0,0.5,油箱顶部,2.86,0.42,0.25,2.797,0.584,0.251,T0
37:48.0,0.5,灭火器把手,2.84,0.69,0.5,2.797,0.584,0.251,T0
37:48.0,0.5,油箱顶部,2.86,0.42,0.25,3.173,0.599,0.422,T1
37:48.0,0.5,灭火器把手,2.84,0.69,0.5,3.173,0.599,0.422,T1
37:48.1,0.5,油箱顶部,2.86,0.42,0.25,2.732,0.588,0.51,T0
37:48.1,0.5,灭火器把手,2.84,0.69,0.5,2.732,0.588,0.51,T0
37:48.1,0.5,油箱顶部,2.86,0.42,0.25,3.161,0.615,0.443,T1
37:48.1,0.5,灭火器把手,2.84,0.69,0.5,3.161,0.615,0.443,T1
37:48.2,0.5,灭火器把手,2.84,0.69,0.5,2.669,0.58,0.773,T0
37:48.2,0.5,油箱顶部,2.86,0.42,0.25,3.126,0.631,0.505,T1
37:48.2,0.5,灭火器把手,2.84,0.69,0.5,3.126,0.631,0.505,T1
37:48.3,0.5,油箱顶部,2.86,0.42,0.25,3.081,0.653,0.573,T1
37:48.3,0.5,灭火器把手,2.84,0.69,0.5,3.081,0.653,0.573,T1
37:48.4,0.5,油箱顶部,2.86,0.42,0.25,3.034,0.684,0.637,T1
37:48.4,0.5,灭火器把手,2.84,0.69,0.5,3.034,0.684,0.637,T1
37:48.5,0.5,灭火器把手,2.84,0.69,0.5,2.972,0.709,0.706,T1
37:48.6,0.5,灭火器把手,2.84,0.69,0.5,2.885,0.738,0.781,T1
37:48.7,0.5,灭火器把手,2.84,0.69,0.5,2.803,0.769,0.842,T1
37:48.8,0.5,灭火器把手,2.84,0.69,0.5,2.735,0.791,0.872,T1
37:48.9,0.5,灭火器把手,2.84,0.69,0.5,2.678,0.808,0.892,T1
37:49.0,0.5,灭火器把手,2.84,0.69,0.5,2.625,0.814,0.907,T1
37:49.1,0.5,灭火器把手,2.84,0.69,0.5,2.595,0.824,0.912,T1
37:50.0,0.5,灭火器把手,2.84,0.69,0.5,2.721,0.767,0.966,T1
37:50.1,0.5,灭火器把手,2.84,0.69,0.5,2.828,0.732,0.955,T1
37:50.2,0.5,灭火器把手,2.84,0.69,0.5,2.944,0.692,0.935,T1
37:50.3,0.5,灭火器把手,2.84,0.69,0.5,3.059,0.646,0.913,T1
37:51.6,0.5,油箱顶部,2.86,0.42,0.25,3.274,0.396,0.517,T1
