contact_time,threshold_value,point_name,fixed_point_x,fixed_point_y,fixed_point_z,tag_x,tag_y,tag_z,tag_id,distance
2026-01-21 15:37:38.345,0.75,焊把钳下端,3.02,1.15,1.56,2.34,1.214,1.651,Tag 1,0.6890406374082737
2026-01-21 15:37:38.395,0.75,焊把钳下端,3.02,1.15,1.56,2.34,1.214,1.651,Tag 1,0.6890406374082737
2026-01-21 15:37:38.445,0.75,焊把钳下端,3.02,1.15,1.56,2.457,1.168,1.687,Tag 1,0.5774270516697327
2026-01-21 15:37:38.495,0.75,焊把钳下端,3.02,1.15,1.56,2.457,1.168,1.687,Tag 1,0.5774270516697327
2026-01-21 15:37:38.546,0.75,焊把钳下端,3.02,1.15,1.56,2.586,1.12,1.721,Tag 1,0.4638717495170407
2026-01-21 15:37:38.595,0.75,焊把钳下端,3.02,1.15,1.56,2.586,1.12,1.721,Tag 1,0.4638717495170407
2026-01-21 15:37:38.646,0.75,焊把钳下端,3.02,1.15,1.56,2.666,1.076,1.737,Tag 1,0.4026425213511361
2026-01-21 15:37:38.695,0.75,焊把钳下端,3.02,1.15,1.56,2.666,1.076,1.737,Tag 1,0.4026425213511361
2026-01-21 15:37:38.746,0.75,焊把钳下端,3.02,1.15,1.56,2.707,1.034,1.744,Tag 1,0.3811574477824093
2026-01-21 15:37:38.796,0.75,焊把钳下端,3.02,1.15,1.56,2.707,1.034,1.744,Tag 1,0.3811574477824093
2026-01-21 15:37:38.846,0.75,焊把钳下端,3.02,1.15,1.56,2.73,0.993,1.74,Tag 1,0.37569801702963507
2026-01-21 15:37:38.894,0.75,焊把钳下端,3.02,1.15,1.56,2.73,0.993,1.74,Tag 1,0.37569801702963507
2026-01-21 15:37:38.946,0.75,焊把钳下端,3.02,1.15,1.56,2.721,0.948,1.721,Tag 1,0.39512782741791286
2026-01-21 15:37:38.995,0.75,焊把钳下端,3.02,1.15,1.56,2.721,0.948,1.721,Tag 1,0.39512782741791286
2026-01-21 15:37:39.046,0.75,焊把钳下端,3.02,1.15,1.56,2.682,0.911,1.696,Tag 1,0.43573042124689887
2026-01-21 15:37:39.095,0.75,焊把钳下端,3.02,1.15,1.56,2.682,0.911,1.696,Tag 1,0.43573042124689887
2026-01-21 15:37:39.145,0.75,焊把钳下端,3.02,1.15,1.56,2.636,0.876,1.667,Tag 1,0.4837158256662685
2026-01-21 15:37:39.195,0.75,焊把钳下端,3.02,1.15,1.56,2.636,0.876,1.667,Tag 1,0.4837158256662685
2026-01-21 15:37:39.245,0.75,焊把钳下端,3.02,1.15,1.56,2.61,0.842,1.629,Tag 1,0.5174214916294066
