from_super_state,to_super_state,from_sub_state,to_sub_state,contact_time,point_name,distance,threshold_value,reason,completed_states
INITIAL,MOVING,S0,S0,2026-01-21 15:37:38.345000,焊把钳下端,,,,
MOVING,OPERATION,S0,S0,2026-01-21 15:37:38.395000,焊把钳下端,,,,
OPERATION,OPERATION,S0,S1,2026-01-21 15:37:41.596000,灭火器把手,0.2136983855811737,0.25,,
OPERATION,OPERATION,S1,S2,2026-01-21 15:37:46.496000,油箱顶部,0.178801565988668,0.35,,
OPERATION,OPERATION,S2,S3,2026-01-21 15:38:28.245000,焊机电源,0.481652364262857,0.5,,
OPERATION,OPERATION,S3,S4,2026-01-21 15:38:38.543000,焊把钳下端,0.5523576739758398,0.75,,
OPERATION,OPERATION,S4,S5,2026-01-21 15:38:46.244000,墙壁电源,0.2231636171063734,0.25,,
OPERATION,OPERATION,S5,S6,2026-01-21 15:38:53.643000,焊机电源,0.4435233928441655,0.5,,
OPERATION,OPERATION,S6,S7,2026-01-21 15:39:03.241000,电压电流旋钮,0.5683915903670639,0.6,,
OPERATION,OPERATION,S7,S8,2026-01-21 15:39:09.092000,接地夹下端,0.5351691321442225,0.63,,
OPERATION,OPERATION,S8,S9,2026-01-21 15:39:38.341000,待焊钢板,0.1565918260957448,0.2,,
OPERATION,OPERATION,S9,S10,2026-01-21 15:39:54.442000,焊机电源,0.4587668253045331,0.5,,
OPERATION,OPERATION,S10,S11,2026-01-21 15:40:07.290000,墙壁电源,0.2210180988064097,0.25,,
OPERATION,OPERATION,S11,S12,2026-01-21 15:40:12.289000,接地夹下端,0.6282714381539241,0.63,,
OPERATION,OPERATION,S12,S13,2026-01-21 15:40:26.741000,锤子,0.2592392717163046,0.6,,
OPERATION,END,S13,S13,,,,,workflow_completed,"['S8', 'S9', 'S12', 'S3', 'S7', 'S10', 'S11', 'S4', 'S5', 'S1', 'S6', 'S2', 'S13']"
