时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号,,灭火器→油箱→接地夹、焊把钳→墙壁电源→焊机电源→电压电流旋钮→待焊钢板、钢刷→焊接时手腕位置→焊机电源→墙壁电源→接地夹、焊把钳→锤子,,,,,,,
45:16.2,0.5,灭火器把手,2.84,0.69,0.5,3.045,0.347,0.794,T1,待机,,,,,,,,
45:16.3,0.5,灭火器把手,2.84,0.69,0.5,3.039,0.379,0.767,T1,,,,,,,,,
45:16.4,0.5,灭火器把手,2.84,0.69,0.5,3.042,0.419,0.739,T1,,,,,,,,,
45:16.5,0.5,灭火器把手,2.84,0.69,0.5,3.057,0.458,0.711,T1,,,,,,,,,
45:16.6,0.5,油箱顶部,2.86,0.42,0.25,3.086,0.493,0.672,T1,,,,,,,,,
45:16.6,0.5,灭火器把手,2.84,0.69,0.5,3.086,0.493,0.672,T1,,,,,,,,,
45:16.7,0.5,油箱顶部,2.86,0.42,0.25,3.134,0.522,0.623,T1,,,,,,,,,
45:16.7,0.5,灭火器把手,2.84,0.69,0.5,3.134,0.522,0.623,T1,,,,,,,,,
45:16.8,0.5,油箱顶部,2.86,0.42,0.25,3.198,0.547,0.557,T1,,,,,,,,,
45:16.8,0.5,灭火器把手,2.84,0.69,0.5,3.198,0.547,0.557,T1,,,,,,,,,
45:16.9,0.5,油箱顶部,2.86,0.42,0.25,3.255,0.567,0.49,T1,,,,,,,,,
45:16.9,0.5,灭火器把手,2.84,0.69,0.5,3.255,0.567,0.49,T1,,,,,,,,,
45:17.0,0.5,灭火器把手,2.84,0.69,0.5,3.3,0.583,0.431,T1,,,,,,,,,
45:17.1,0.5,油箱顶部,2.86,0.42,0.25,2.484,0.243,0.495,T0,,,,,,,,,
45:17.2,0.5,油箱顶部,2.86,0.42,0.25,2.503,0.225,0.494,T0,,,,,,,,,
45:17.3,0.5,油箱顶部,2.86,0.42,0.25,2.522,0.189,0.507,T0,,,,,,,,,
45:17.7,0.5,油箱顶部,2.86,0.42,0.25,3.282,0.627,0.245,T1,,,,,,,,,
45:17.8,0.5,油箱顶部,2.86,0.42,0.25,3.234,0.63,0.288,T1,,,,,,,,,
45:17.8,0.5,灭火器把手,2.84,0.69,0.5,3.234,0.63,0.288,T1,,,,,,,,,
45:17.9,0.5,油箱顶部,2.86,0.42,0.25,3.186,0.633,0.323,T1,,,,,,,,,
45:17.9,0.5,灭火器把手,2.84,0.69,0.5,3.186,0.633,0.323,T1,,,,,,,,,
45:18.0,0.5,油箱顶部,2.86,0.42,0.25,3.135,0.642,0.38,T1,,,,,,,,,
45:18.0,0.5,灭火器把手,2.84,0.69,0.5,3.135,0.642,0.38,T1,,,,,,,,,
45:18.1,0.5,油箱顶部,2.86,0.42,0.25,3.086,0.655,0.447,T1,,,,,,,,,
45:18.1,0.5,灭火器把手,2.84,0.69,0.5,3.086,0.655,0.447,T1,,,,,,,,,
45:18.2,0.5,油箱顶部,2.86,0.42,0.25,3.047,0.668,0.518,T1,,,,,,,,,
45:18.2,0.5,灭火器把手,2.84,0.69,0.5,3.047,0.668,0.518,T1,,,,,,,,,
45:18.3,0.5,油箱顶部,2.86,0.42,0.25,3.018,0.676,0.59,T1,,,,,,,,,
45:18.3,0.5,灭火器把手,2.84,0.69,0.5,3.018,0.676,0.59,T1,,,,,,,,,
45:18.4,0.5,灭火器把手,2.84,0.69,0.5,3.001,0.677,0.673,T1,,,,,,,,,
45:18.5,0.5,灭火器把手,2.84,0.69,0.5,3.001,0.674,0.754,T1,,,,,,,,,
45:18.6,0.5,油箱顶部,2.86,0.42,0.25,2.463,0.256,0.5,T0,,,,,,,,,
45:18.6,0.5,灭火器把手,2.84,0.69,0.5,3.011,0.658,0.806,T1,,,,,,,,,
45:18.7,0.5,灭火器把手,2.84,0.69,0.5,3.022,0.631,0.845,T1,,,,,,,,,
45:18.8,0.5,油箱顶部,2.86,0.42,0.25,2.405,0.282,0.311,T0,,,,,,,,,
45:18.8,0.5,灭火器把手,2.84,0.69,0.5,3.024,0.595,0.883,T1,,,,,,,,,
45:18.9,0.5,油箱顶部,2.86,0.42,0.25,2.384,0.296,0.296,T0,,,,,,,,,
