rangetime(ms),tag_ID,x(m),y(m),z(m),range0(m),range1(m),range2(m),range3(m),range4(m),range5(m),range6(m),range7(m),rx_pwr(dBm),accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll,pitch,yaw
2026-01-21 15:45:06.279,Tag 0,2.638,-0.609,0.714,2.81,1.01,3.15,3.66,2.42,1.08,3.85,3.39,-78.86,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.279,Tag 1,2.257,0.889,1.03,2.65,1.55,2.11,2.87,2.36,1.37,2.79,2.96,-78.33,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.327,Tag 0,2.638,-0.609,0.714,2.81,1.01,3.15,3.66,2.42,1.08,3.85,3.39,-78.86,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.327,Tag 1,2.258,0.888,1.027,2.65,1.55,2.11,2.86,2.36,1.37,2.78,2.96,-78.3,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.378,Tag 0,2.638,-0.557,0.76,2.81,1.0,3.13,3.61,2.46,1.08,3.99,3.39,-78.85,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.378,Tag 1,2.258,0.888,1.027,2.65,1.55,2.11,2.86,2.36,1.37,2.78,2.96,-78.3,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.427,Tag 0,2.638,-0.557,0.76,2.81,1.0,3.13,3.61,2.46,1.08,3.99,3.39,-78.85,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.427,Tag 1,2.26,0.886,1.025,2.64,1.55,2.1,2.86,2.37,1.37,2.69,2.96,-78.38,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.478,Tag 0,2.639,-0.512,0.79,2.81,1.01,3.12,3.57,2.44,1.08,3.99,3.38,-78.82,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.478,Tag 1,2.26,0.886,1.025,2.64,1.55,2.1,2.86,2.37,1.37,2.69,2.96,-78.38,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.527,Tag 0,2.639,-0.512,0.79,2.81,1.01,3.12,3.57,2.44,1.08,3.99,3.38,-78.82,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.527,Tag 1,2.261,0.885,1.024,2.64,1.56,2.1,2.85,2.37,1.37,2.69,2.96,-78.52,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.576,Tag 0,2.641,-0.476,0.808,2.8,1.0,3.1,3.53,2.42,1.09,3.98,3.38,-78.77,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.576,Tag 1,2.261,0.885,1.024,2.64,1.56,2.1,2.85,2.37,1.37,2.69,2.96,-78.52,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.626,Tag 1,2.262,0.885,1.022,2.64,1.55,2.1,2.86,2.37,1.37,2.7,2.96,-78.43,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.626,Tag 0,2.641,-0.476,0.808,2.8,1.0,3.1,3.53,2.42,1.09,3.98,3.38,-78.77,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.677,Tag 1,2.262,0.885,1.022,2.64,1.55,2.1,2.86,2.37,1.37,2.7,2.96,-78.43,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.677,Tag 0,2.641,-0.447,0.819,2.81,1.0,3.07,3.51,2.41,1.09,3.98,3.39,-78.64,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.726,Tag 1,2.262,0.887,1.021,2.64,1.55,2.11,2.87,2.37,,2.83,2.96,-78.33,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.726,Tag 0,2.641,-0.447,0.819,2.81,1.0,3.07,3.51,2.41,1.09,3.98,3.39,-78.64,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.777,Tag 1,2.262,0.887,1.021,2.64,1.55,2.11,2.87,2.37,,2.83,2.96,-78.33,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.777,Tag 0,2.642,-0.423,0.824,2.81,0.99,3.06,3.49,2.39,1.09,3.98,3.38,-78.69,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.828,Tag 0,2.642,-0.423,0.824,2.81,0.99,3.06,3.49,2.39,1.09,3.98,3.38,-78.69,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.828,Tag 1,2.26,0.887,1.02,2.64,1.55,2.1,2.87,2.38,1.38,2.83,2.96,-78.3,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-21 15:45:06.878,Tag 0,2.645,-0.401,0.831,2.81,0.99,3.04,3.47,2.37,1.09,3.98,3.38,-78.84,0,0,0,0,0,0,0,0,0,0,0,0
