contact_time,threshold_value,point_name,fixed_point_x,fixed_point_y,fixed_point_z,tag_x,tag_y,tag_z,tag_id,distance
2026-01-21 15:45:17.929,0.4,油箱顶部,2.86,0.42,0.25,3.186,0.633,0.323,Tag 1,0.39619944472449736
2026-01-21 15:45:17.978,0.4,油箱顶部,2.86,0.42,0.25,3.186,0.633,0.323,Tag 1,0.39619944472449736
2026-01-21 15:45:18.026,0.4,油箱顶部,2.86,0.42,0.25,3.135,0.642,0.38,Tag 1,0.37657535766430594
2026-01-21 15:45:18.077,0.4,油箱顶部,2.86,0.42,0.25,3.135,0.642,0.38,Tag 1,0.37657535766430594
2026-01-21 15:45:18.128,0.3,灭火器把手,2.84,0.69,0.5,3.086,0.655,0.447,Tag 1,0.25406692031825
2026-01-21 15:45:18.180,0.3,灭火器把手,2.84,0.69,0.5,3.086,0.655,0.447,Tag 1,0.25406692031825
2026-01-21 15:45:18.229,0.3,灭火器把手,2.84,0.69,0.5,3.047,0.668,0.518,Tag 1,0.2089425758432209
2026-01-21 15:45:18.277,0.3,灭火器把手,2.84,0.69,0.5,3.047,0.668,0.518,Tag 1,0.2089425758432209
2026-01-21 15:45:18.329,0.3,灭火器把手,2.84,0.69,0.5,3.018,0.676,0.59,Tag 1,0.19994999374843692
2026-01-21 15:45:18.377,0.3,灭火器把手,2.84,0.69,0.5,3.018,0.676,0.59,Tag 1,0.19994999374843692
2026-01-21 15:45:18.427,0.3,灭火器把手,2.84,0.69,0.5,3.001,0.677,0.673,Tag 1,0.23668333274652026
2026-01-21 15:45:18.477,0.3,灭火器把手,2.84,0.69,0.5,3.001,0.677,0.673,Tag 1,0.23668333274652026
2026-01-21 15:45:23.079,0.3,灭火器把手,2.84,0.69,0.5,2.789,0.512,0.69,Tag 0,0.26530171503403427
2026-01-21 15:45:23.127,0.3,灭火器把手,2.84,0.69,0.5,2.789,0.512,0.69,Tag 0,0.26530171503403427
