contact_time,threshold_value,point_name,fixed_point_x,fixed_point_y,fixed_point_z,tag_x,tag_y,tag_z,tag_id,distance,distance_ratio
2026-01-21 15:45:18.329,0.2,灭火器把手,2.84,0.69,0.5,3.018,0.676,0.59,Tag 1,0.19994999374843692,0.9997499687421846
2026-01-21 15:45:18.377,0.2,灭火器把手,2.84,0.69,0.5,3.018,0.676,0.59,Tag 1,0.19994999374843692,0.9997499687421846
2026-01-21 15:45:23.278,0.2,灭火器把手,2.84,0.69,0.5,2.893,0.546,0.615,Tag 0,0.19175505208468424,0.9587752604234212
2026-01-21 15:45:23.328,0.2,灭火器把手,2.84,0.69,0.5,2.893,0.546,0.615,Tag 0,0.19175505208468424,0.9587752604234212
2026-01-21 15:45:23.378,0.2,灭火器把手,2.84,0.69,0.5,2.932,0.558,0.583,Tag 0,0.1810441934998192,0.905220967499096
2026-01-21 15:45:23.427,0.2,灭火器把手,2.84,0.69,0.5,2.932,0.558,0.583,Tag 0,0.1810441934998192,0.905220967499096
2026-01-21 15:45:23.479,0.2,灭火器把手,2.84,0.69,0.5,2.963,0.568,0.555,Tag 0,0.18176358271116924,0.9088179135558462
2026-01-21 15:45:23.527,0.2,灭火器把手,2.84,0.69,0.5,2.963,0.568,0.555,Tag 0,0.18176358271116924,0.9088179135558462
2026-01-21 15:45:23.577,0.3,油箱顶部,2.86,0.42,0.25,3.017,0.553,0.45,Tag 0,0.2869459879489519,0.9564866264965063
2026-01-21 15:45:23.628,0.3,油箱顶部,2.86,0.42,0.25,3.017,0.553,0.45,Tag 0,0.2869459879489519,0.9564866264965063
2026-01-21 15:45:23.678,0.3,油箱顶部,2.86,0.42,0.25,3.032,0.56,0.432,Tag 0,0.2868937085402886,0.9563123618009621
2026-01-21 15:45:23.727,0.3,油箱顶部,2.86,0.42,0.25,3.032,0.56,0.432,Tag 0,0.2868937085402886,0.9563123618009621
2026-01-21 15:45:23.727,0.2,灭火器把手,2.84,0.69,0.5,3.003,0.727,0.6,Tag 1,0.19477679533250383,0.9738839766625191
2026-01-21 15:45:23.778,0.3,油箱顶部,2.86,0.42,0.25,3.044,0.567,0.42,Tag 0,0.29045653719618714,0.9681884573206239
2026-01-21 15:45:23.778,0.2,灭火器把手,2.84,0.69,0.5,3.003,0.727,0.6,Tag 1,0.19477679533250383,0.9738839766625191
