from_super_state,to_super_state,from_sub_state,to_sub_state,contact_time,point_name,distance,threshold_value,reason,missing_states,completed_states,last_sub_state
INITIAL,MOVING,S0,S0,2026-01-21 15:45:18.229000,灭火器把手,,,,,,
MOVING,OPERATION,S0,S0,2026-01-21 15:45:18.277000,灭火器把手,,,,,,
OPERATION,OPERATION,S0,S2,2026-01-21 15:45:23.778000,油箱顶部,0.2904565371961871,0.35,,,,
OPERATION,OPERATION,S2,S3,2026-01-21 15:45:52.025000,电压电流旋钮,0.4793140932624452,0.6,,,,
OPERATION,OPERATION,S3,S4,2026-01-21 15:46:12.024000,接地夹下端,0.6018945090296138,0.63,,,,
OPERATION,OPERATION,S4,S5,2026-01-21 15:46:18.625000,墙壁电源,0.231088727548533,0.25,,,,
OPERATION,OPERATION,S5,S6,2026-01-21 15:46:23.726000,焊机电源,0.4553921387112428,0.5,,,,
OPERATION,OPERATION,S6,S7,2026-01-21 15:46:33.423000,电压电流旋钮,0.5866225362189899,0.6,,,,
OPERATION,OPERATION,S7,S8,2026-01-21 15:46:39.674000,接地夹下端,0.5950411750458955,0.63,,,,
OPERATION,OPERATION,S8,S9,2026-01-21 15:46:55.824000,待焊钢板,0.19596428245984,0.2,,,,
OPERATION,OPERATION,S9,S10,2026-01-21 15:47:17.624000,焊机电源,0.4991763215538171,0.5,,,,
OPERATION,OPERATION,S10,S11,2026-01-21 15:47:23.422000,墙壁电源,0.1912014644295382,0.25,,,,
OPERATION,OPERATION,S11,S12,2026-01-21 15:47:35.072000,焊把钳下端,0.1776091213873883,0.75,,,,
OPERATION,OPERATION,S12,S13,2026-01-21 15:47:46.020000,锤子,0.5688611429865815,0.6,,,,
OPERATION,ERROR,S13,S15,,,,,incomplete_workflow,['S1'],"['S7', 'S11', 'S9', 'S3', 'S10', 'S12', 'S13', 'S2', 'S5', 'S4', 'S6', 'S8']",
OPERATION,ERROR,S13,S13,,,,,incomplete_workflow,['S1'],,S13
