时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号,
"2026-01-21 16:19:40.122",0.400,"灭火器把手",2.840,0.690,0.500,3.110,0.784,0.289,"T1",
"2026-01-21 16:19:40.222",0.400,"灭火器把手",2.840,0.690,0.500,3.119,0.803,0.443,"T1",
"2026-01-21 16:19:40.322",0.400,"灭火器把手",2.840,0.690,0.500,3.116,0.812,0.617,"T1",
"2026-01-21 16:19:41.321",0.400,"焊把钳下端",3.020,1.150,1.560,2.806,0.845,1.540,"T1",
"2026-01-21 16:19:41.421",0.400,"焊把钳下端",3.020,1.150,1.560,2.803,0.892,1.590,"T1",
"2026-01-21 16:19:41.521",0.400,"焊把钳下端",3.020,1.150,1.560,2.808,0.926,1.616,"T1",
"2026-01-21 16:19:41.622",0.400,"焊把钳下端",3.020,1.150,1.560,2.823,0.956,1.612,"T1",
"2026-01-21 16:19:41.721",0.400,"焊把钳下端",3.020,1.150,1.560,2.896,0.930,1.538,"T1",
"2026-01-21 16:19:41.822",0.400,"焊把钳下端",3.020,1.150,1.560,2.981,0.889,1.441,"T1",
"2026-01-21 16:19:41.922",0.400,"焊把钳下端",3.020,1.150,1.560,3.011,0.853,1.330,"T1",
"2026-01-21 16:19:42.422",0.400,"灭火器把手",2.840,0.690,0.500,3.093,0.782,0.762,"T1",
"2026-01-21 16:19:42.472",0.400,"灭火器把手",2.840,0.690,0.500,2.834,0.378,0.722,"T0",
"2026-01-21 16:19:42.522",0.400,"灭火器把手",2.840,0.690,0.500,3.110,0.776,0.660,"T1",
"2026-01-21 16:19:42.570",0.400,"灭火器把手",2.840,0.690,0.500,2.839,0.385,0.678,"T0",
"2026-01-21 16:19:42.621",0.400,"灭火器把手",2.840,0.690,0.500,3.124,0.770,0.565,"T1",
"2026-01-21 16:19:42.671",0.400,"油箱顶部",2.860,0.420,0.250,2.845,0.392,0.640,"T0",
"2026-01-21 16:19:42.671",0.400,"灭火器把手",2.840,0.690,0.500,2.845,0.392,0.640,"T0",
"2026-01-21 16:19:42.721",0.400,"灭火器把手",2.840,0.690,0.500,3.132,0.763,0.478,"T1",
"2026-01-21 16:19:42.772",0.400,"油箱顶部",2.860,0.420,0.250,2.849,0.400,0.603,"T0",
"2026-01-21 16:19:42.772",0.400,"灭火器把手",2.840,0.690,0.500,2.849,0.400,0.603,"T0",
"2026-01-21 16:19:42.822",0.400,"灭火器把手",2.840,0.690,0.500,3.142,0.758,0.389,"T1",
"2026-01-21 16:19:42.871",0.400,"油箱顶部",2.860,0.420,0.250,2.851,0.411,0.570,"T0",
"2026-01-21 16:19:42.871",0.400,"灭火器把手",2.840,0.690,0.500,2.851,0.411,0.570,"T0",
"2026-01-21 16:19:42.922",0.400,"灭火器把手",2.840,0.690,0.500,3.154,0.752,0.289,"T1",
"2026-01-21 16:19:42.972",0.400,"油箱顶部",2.860,0.420,0.250,2.853,0.423,0.542,"T0",
"2026-01-21 16:19:42.972",0.400,"灭火器把手",2.840,0.690,0.500,2.853,0.423,0.542,"T0",
"2026-01-21 16:19:43.071",0.400,"油箱顶部",2.860,0.420,0.250,2.852,0.433,0.520,"T0",
"2026-01-21 16:19:43.071",0.400,"灭火器把手",2.840,0.690,0.500,2.852,0.433,0.520,"T0",
"2026-01-21 16:19:43.171",0.400,"油箱顶部",2.860,0.420,0.250,2.850,0.442,0.508,"T0",
"2026-01-21 16:19:43.171",0.400,"灭火器把手",2.840,0.690,0.500,2.850,0.442,0.508,"T0",
"2026-01-21 16:19:43.272",0.400,"油箱顶部",2.860,0.420,0.250,2.845,0.449,0.508,"T0",
"2026-01-21 16:19:43.272",0.400,"灭火器把手",2.840,0.690,0.500,2.845,0.449,0.508,"T0",
"2026-01-21 16:19:43.371",0.400,"油箱顶部",2.860,0.420,0.250,2.838,0.455,0.515,"T0",
"2026-01-21 16:19:43.371",0.400,"灭火器把手",2.840,0.690,0.500,2.838,0.455,0.515,"T0",
"2026-01-21 16:19:43.472",0.400,"油箱顶部",2.860,0.420,0.250,2.829,0.462,0.533,"T0",
"2026-01-21 16:19:43.472",0.400,"灭火器把手",2.840,0.690,0.500,2.829,0.462,0.533,"T0",
"2026-01-21 16:19:43.571",0.400,"油箱顶部",2.860,0.420,0.250,2.818,0.473,0.556,"T0",
"2026-01-21 16:19:43.571",0.400,"灭火器把手",2.840,0.690,0.500,2.818,0.473,0.556,"T0",
"2026-01-21 16:19:43.671",0.400,"油箱顶部",2.860,0.420,0.250,2.806,0.482,0.584,"T0",
"2026-01-21 16:19:43.671",0.400,"灭火器把手",2.840,0.690,0.500,2.806,0.482,0.584,"T0",
"2026-01-21 16:19:43.771",0.400,"油箱顶部",2.860,0.420,0.250,2.793,0.493,0.612,"T0",
"2026-01-21 16:19:43.771",0.400,"灭火器把手",2.840,0.690,0.500,2.793,0.493,0.612,"T0",
"2026-01-21 16:19:43.872",0.400,"灭火器把手",2.840,0.690,0.500,2.781,0.503,0.635,"T0",
"2026-01-21 16:19:43.971",0.400,"灭火器把手",2.840,0.690,0.500,2.773,0.513,0.660,"T0",
"2026-01-21 16:19:44.072",0.400,"灭火器把手",2.840,0.690,0.500,2.765,0.521,0.681,"T0",
"2026-01-21 16:19:44.171",0.400,"灭火器把手",2.840,0.690,0.500,2.757,0.525,0.701,"T0",
"2026-01-21 16:19:44.271",0.400,"灭火器把手",2.840,0.690,0.500,2.752,0.527,0.720,"T0",
"2026-01-21 16:19:44.372",0.400,"灭火器把手",2.840,0.690,0.500,2.748,0.526,0.736,"T0",
"2026-01-21 16:19:44.470",0.400,"灭火器把手",2.840,0.690,0.500,2.737,0.530,0.761,"T0",
"2026-01-21 16:19:44.571",0.400,"灭火器把手",2.840,0.690,0.500,2.719,0.534,0.787,"T0",
"2026-01-21 16:19:44.671",0.400,"灭火器把手",2.840,0.690,0.500,2.696,0.533,0.812,"T0",
"2026-01-21 16:19:47.572",0.400,"油箱顶部",2.860,0.420,0.250,2.701,0.128,0.457,"T0",
"2026-01-21 16:19:47.671",0.400,"油箱顶部",2.860,0.420,0.250,2.732,0.137,0.420,"T0",
"2026-01-21 16:19:47.772",0.400,"油箱顶部",2.860,0.420,0.250,2.757,0.146,0.390,"T0",
"2026-01-21 16:19:47.871",0.400,"油箱顶部",2.860,0.420,0.250,2.775,0.154,0.367,"T0",
"2026-01-21 16:19:47.971",0.400,"油箱顶部",2.860,0.420,0.250,2.783,0.161,0.351,"T0",
"2026-01-21 16:19:48.071",0.400,"油箱顶部",2.860,0.420,0.250,2.784,0.164,0.343,"T0",
"2026-01-21 16:19:48.172",0.400,"油箱顶部",2.860,0.420,0.250,2.775,0.168,0.347,"T0",
"2026-01-21 16:19:48.271",0.400,"油箱顶部",2.860,0.420,0.250,2.762,0.164,0.365,"T0",
"2026-01-21 16:19:48.371",0.400,"油箱顶部",2.860,0.420,0.250,2.746,0.150,0.395,"T0",
