时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号
19:40.1,0.4,灭火器把手,2.84,0.69,0.5,3.11,0.784,0.289,T1
19:40.2,0.4,灭火器把手,2.84,0.69,0.5,3.119,0.803,0.443,T1
19:40.3,0.4,灭火器把手,2.84,0.69,0.5,3.116,0.812,0.617,T1
19:41.3,0.4,焊把钳下端,3.02,1.15,1.56,2.806,0.845,1.54,T1
19:41.4,0.4,焊把钳下端,3.02,1.15,1.56,2.803,0.892,1.59,T1
19:41.5,0.4,焊把钳下端,3.02,1.15,1.56,2.808,0.926,1.616,T1
19:41.6,0.4,焊把钳下端,3.02,1.15,1.56,2.823,0.956,1.612,T1
19:41.7,0.4,焊把钳下端,3.02,1.15,1.56,2.896,0.93,1.538,T1
19:41.8,0.4,焊把钳下端,3.02,1.15,1.56,2.981,0.889,1.441,T1
19:41.9,0.4,焊把钳下端,3.02,1.15,1.56,3.011,0.853,1.33,T1
19:42.4,0.4,灭火器把手,2.84,0.69,0.5,3.093,0.782,0.762,T1
19:42.5,0.4,灭火器把手,2.84,0.69,0.5,2.834,0.378,0.722,T0
19:42.5,0.4,灭火器把手,2.84,0.69,0.5,3.11,0.776,0.66,T1
19:42.6,0.4,灭火器把手,2.84,0.69,0.5,2.839,0.385,0.678,T0
19:42.6,0.4,灭火器把手,2.84,0.69,0.5,3.124,0.77,0.565,T1
19:42.7,0.4,油箱顶部,2.86,0.42,0.25,2.845,0.392,0.64,T0
19:42.7,0.4,灭火器把手,2.84,0.69,0.5,2.845,0.392,0.64,T0
19:42.7,0.4,灭火器把手,2.84,0.69,0.5,3.132,0.763,0.478,T1
19:42.8,0.4,油箱顶部,2.86,0.42,0.25,2.849,0.4,0.603,T0
19:42.8,0.4,灭火器把手,2.84,0.69,0.5,2.849,0.4,0.603,T0
19:42.8,0.4,灭火器把手,2.84,0.69,0.5,3.142,0.758,0.389,T1
19:42.9,0.4,油箱顶部,2.86,0.42,0.25,2.851,0.411,0.57,T0
19:42.9,0.4,灭火器把手,2.84,0.69,0.5,2.851,0.411,0.57,T0
19:42.9,0.4,灭火器把手,2.84,0.69,0.5,3.154,0.752,0.289,T1
19:43.0,0.4,油箱顶部,2.86,0.42,0.25,2.853,0.423,0.542,T0
19:43.0,0.4,灭火器把手,2.84,0.69,0.5,2.853,0.423,0.542,T0
19:43.1,0.4,油箱顶部,2.86,0.42,0.25,2.852,0.433,0.52,T0
19:43.1,0.4,灭火器把手,2.84,0.69,0.5,2.852,0.433,0.52,T0
19:43.2,0.4,油箱顶部,2.86,0.42,0.25,2.85,0.442,0.508,T0
19:43.2,0.4,灭火器把手,2.84,0.69,0.5,2.85,0.442,0.508,T0
19:43.3,0.4,油箱顶部,2.86,0.42,0.25,2.845,0.449,0.508,T0
19:43.3,0.4,灭火器把手,2.84,0.69,0.5,2.845,0.449,0.508,T0
19:43.4,0.4,油箱顶部,2.86,0.42,0.25,2.838,0.455,0.515,T0
19:43.4,0.4,灭火器把手,2.84,0.69,0.5,2.838,0.455,0.515,T0
19:43.5,0.4,油箱顶部,2.86,0.42,0.25,2.829,0.462,0.533,T0
19:43.5,0.4,灭火器把手,2.84,0.69,0.5,2.829,0.462,0.533,T0
19:43.6,0.4,油箱顶部,2.86,0.42,0.25,2.818,0.473,0.556,T0
19:43.6,0.4,灭火器把手,2.84,0.69,0.5,2.818,0.473,0.556,T0
19:43.7,0.4,油箱顶部,2.86,0.42,0.25,2.806,0.482,0.584,T0
19:43.7,0.4,灭火器把手,2.84,0.69,0.5,2.806,0.482,0.584,T0
19:43.8,0.4,油箱顶部,2.86,0.42,0.25,2.793,0.493,0.612,T0
19:43.8,0.4,灭火器把手,2.84,0.69,0.5,2.793,0.493,0.612,T0
19:43.9,0.4,灭火器把手,2.84,0.69,0.5,2.781,0.503,0.635,T0
19:44.0,0.4,灭火器把手,2.84,0.69,0.5,2.773,0.513,0.66,T0
19:44.1,0.4,灭火器把手,2.84,0.69,0.5,2.765,0.521,0.681,T0
19:44.2,0.4,灭火器把手,2.84,0.69,0.5,2.757,0.525,0.701,T0
19:44.3,0.4,灭火器把手,2.84,0.69,0.5,2.752,0.527,0.72,T0
19:44.4,0.4,灭火器把手,2.84,0.69,0.5,2.748,0.526,0.736,T0
19:44.5,0.4,灭火器把手,2.84,0.69,0.5,2.737,0.53,0.761,T0
19:44.6,0.4,灭火器把手,2.84,0.69,0.5,2.719,0.534,0.787,T0
19:44.7,0.4,灭火器把手,2.84,0.69,0.5,2.696,0.533,0.812,T0
19:47.6,0.4,油箱顶部,2.86,0.42,0.25,2.701,0.128,0.457,T0
19:47.7,0.4,油箱顶部,2.86,0.42,0.25,2.732,0.137,0.42,T0
19:47.8,0.4,油箱顶部,2.86,0.42,0.25,2.757,0.146,0.39,T0
19:47.9,0.4,油箱顶部,2.86,0.42,0.25,2.775,0.154,0.367,T0
19:48.0,0.4,油箱顶部,2.86,0.42,0.25,2.783,0.161,0.351,T0
19:48.1,0.4,油箱顶部,2.86,0.42,0.25,2.784,0.164,0.343,T0
19:48.2,0.4,油箱顶部,2.86,0.42,0.25,2.775,0.168,0.347,T0
19:48.3,0.4,油箱顶部,2.86,0.42,0.25,2.762,0.164,0.365,T0
19:48.4,0.4,油箱顶部,2.86,0.42,0.25,2.746,0.15,0.395,T0
19:48.5,0.4,油箱顶部,2.86,0.42,0.25,2.728,0.132,0.44,T0
19:58.8,0.4,墙壁电源,2.44,2.57,0.97,2.58,2.267,1.081,T1
19:58.9,0.4,墙壁电源,2.44,2.57,0.97,2.361,2.39,1.03,T1
19:59.0,0.4,墙壁电源,2.44,2.57,0.97,2.142,2.519,0.945,T1
20:16.1,0.4,焊机电源,1.45,2.1,0.39,1.549,1.998,0.754,T1
20:16.2,0.4,焊机电源,1.45,2.1,0.39,1.515,1.972,0.719,T1
20:16.3,0.4,焊机电源,1.45,2.1,0.39,1.489,1.956,0.677,T1
20:16.4,0.4,焊机电源,1.45,2.1,0.39,1.466,1.933,0.664,T1
20:16.5,0.4,焊机电源,1.45,2.1,0.39,1.442,1.911,0.652,T1
20:16.6,0.4,焊机电源,1.45,2.1,0.39,1.422,1.896,0.633,T1
20:16.7,0.4,焊机电源,1.45,2.1,0.39,1.404,1.882,0.617,T1
20:16.8,0.4,焊机电源,1.45,2.1,0.39,1.39,1.873,0.592,T1
20:16.9,0.4,焊机电源,1.45,2.1,0.39,1.375,1.869,0.563,T1
20:17.0,0.4,焊机电源,1.45,2.1,0.39,1.363,1.865,0.541,T1
20:17.1,0.4,焊机电源,1.45,2.1,0.39,1.354,1.852,0.556,T1
20:17.2,0.4,焊机电源,1.45,2.1,0.39,1.345,1.84,0.574,T1
20:17.3,0.4,焊机电源,1.45,2.1,0.39,1.336,1.829,0.594,T1
20:17.4,0.4,焊机电源,1.45,2.1,0.39,1.326,1.819,0.621,T1
20:17.8,0.4,焊机电源,1.45,2.1,0.39,1.281,1.836,0.631,T1
20:24.7,0.4,电压电流旋钮,1.56,1.5,0.37,1.531,1.457,0.744,T0
20:24.8,0.4,电压电流旋钮,1.56,1.5,0.37,1.517,1.452,0.746,T0
20:24.9,0.4,电压电流旋钮,1.56,1.5,0.37,1.509,1.439,0.757,T0
20:28.1,0.4,焊机电源,1.45,2.1,0.39,1.516,2.446,0.305,T1
20:28.2,0.4,焊机电源,1.45,2.1,0.39,1.563,2.287,0.481,T1
20:28.3,0.4,焊机电源,1.45,2.1,0.39,1.635,2.136,0.654,T1
20:29.1,0.4,焊把钳下端,3.02,1.15,1.56,2.882,1.396,1.441,T1
20:29.1,0.4,接地夹下端,3.02,1.53,1.61,2.882,1.396,1.441,T1
20:29.2,0.4,焊把钳下端,3.02,1.15,1.56,3.041,1.377,1.486,T1
20:29.2,0.4,接地夹下端,3.02,1.53,1.61,3.041,1.377,1.486,T1
20:29.3,0.4,焊把钳下端,3.02,1.15,1.56,3.155,1.368,1.514,T1
20:29.3,0.4,接地夹下端,3.02,1.53,1.61,3.155,1.368,1.514,T1
20:29.4,0.4,焊把钳下端,3.02,1.15,1.56,3.266,1.377,1.514,T1
20:29.4,0.4,接地夹下端,3.02,1.53,1.61,3.266,1.377,1.514,T1
20:34.2,0.4,焊把钳下端,3.02,1.15,1.56,3.348,1.3,1.703,T1
20:34.3,0.4,焊把钳下端,3.02,1.15,1.56,3.278,1.293,1.737,T1
20:34.3,0.4,接地夹下端,3.02,1.53,1.61,3.278,1.293,1.737,T1
20:34.4,0.4,焊把钳下端,3.02,1.15,1.56,3.23,1.285,1.762,T1
20:34.4,0.4,接地夹下端,3.02,1.53,1.61,3.23,1.285,1.762,T1
20:34.5,0.4,焊把钳下端,3.02,1.15,1.56,3.198,1.271,1.783,T1
20:34.5,0.4,接地夹下端,3.02,1.53,1.61,3.198,1.271,1.783,T1
20:34.6,0.4,焊把钳下端,3.02,1.15,1.56,3.173,1.258,1.801,T1
20:34.6,0.4,接地夹下端,3.02,1.53,1.61,3.173,1.258,1.801,T1
20:34.7,0.4,焊把钳下端,3.02,1.15,1.56,3.158,1.245,1.816,T1
20:34.7,0.4,接地夹下端,3.02,1.53,1.61,3.158,1.245,1.816,T1
20:34.8,0.4,焊把钳下端,3.02,1.15,1.56,3.159,1.233,1.822,T1
