contact_time,threshold_value,point_name,fixed_point_x,fixed_point_y,fixed_point_z,tag_x,tag_y,tag_z,tag_id,distance
2026-01-21 16:19:41.222,0.45,焊把钳下端,3.02,1.15,1.56,2.831,0.788,1.471,Tag 1,0.4179545429828463
2026-01-21 16:19:41.272,0.45,焊把钳下端,3.02,1.15,1.56,2.831,0.788,1.471,Tag 1,0.4179545429828463
2026-01-21 16:19:41.323,0.45,焊把钳下端,3.02,1.15,1.56,2.806,0.845,1.54,Tag 1,0.37312330401624605
2026-01-21 16:19:41.373,0.45,焊把钳下端,3.02,1.15,1.56,2.806,0.845,1.54,Tag 1,0.37312330401624605
2026-01-21 16:19:41.423,0.45,焊把钳下端,3.02,1.15,1.56,2.803,0.892,1.59,Tag 1,0.3384567919247595
2026-01-21 16:19:41.472,0.45,焊把钳下端,3.02,1.15,1.56,2.803,0.892,1.59,Tag 1,0.3384567919247595
2026-01-21 16:19:41.524,0.45,焊把钳下端,3.02,1.15,1.56,2.808,0.926,1.616,Tag 1,0.3134581311754411
2026-01-21 16:19:41.573,0.45,焊把钳下端,3.02,1.15,1.56,2.808,0.926,1.616,Tag 1,0.3134581311754411
2026-01-21 16:19:41.623,0.45,焊把钳下端,3.02,1.15,1.56,2.823,0.956,1.612,Tag 1,0.2813343206933701
2026-01-21 16:19:41.673,0.45,焊把钳下端,3.02,1.15,1.56,2.823,0.956,1.612,Tag 1,0.2813343206933701
2026-01-21 16:19:41.723,0.45,焊把钳下端,3.02,1.15,1.56,2.896,0.93,1.538,Tag 1,0.25349556209133123
2026-01-21 16:19:41.772,0.45,焊把钳下端,3.02,1.15,1.56,2.896,0.93,1.538,Tag 1,0.25349556209133123
2026-01-21 16:19:41.823,0.45,焊把钳下端,3.02,1.15,1.56,2.981,0.889,1.441,Tag 1,0.28948747814024695
2026-01-21 16:19:41.872,0.45,焊把钳下端,3.02,1.15,1.56,2.981,0.889,1.441,Tag 1,0.28948747814024695
2026-01-21 16:19:41.924,0.45,焊把钳下端,3.02,1.15,1.56,3.011,0.853,1.33,Tag 1,0.37575257816813434
2026-01-21 16:19:41.973,0.45,焊把钳下端,3.02,1.15,1.56,3.011,0.853,1.33,Tag 1,0.37575257816813434
2026-01-21 16:19:42.872,0.35,油箱顶部,2.86,0.42,0.25,2.851,0.411,0.57,Tag 0,0.32025302496619756
2026-01-21 16:19:42.924,0.35,油箱顶部,2.86,0.42,0.25,2.851,0.411,0.57,Tag 0,0.32025302496619756
2026-01-21 16:19:42.974,0.35,油箱顶部,2.86,0.42,0.25,2.853,0.423,0.542,Tag 0,0.2920992981847098
2026-01-21 16:19:43.024,0.35,油箱顶部,2.86,0.42,0.25,2.853,0.423,0.542,Tag 0,0.2920992981847098
2026-01-21 16:19:43.073,0.35,油箱顶部,2.86,0.42,0.25,2.852,0.433,0.52,Tag 0,0.27043113726048634
2026-01-21 16:19:43.124,0.35,油箱顶部,2.86,0.42,0.25,2.852,0.433,0.52,Tag 0,0.27043113726048634
2026-01-21 16:19:43.173,0.25,灭火器把手,2.84,0.69,0.5,2.85,0.442,0.508,Tag 0,0.24833042503889846
2026-01-21 16:19:43.173,0.35,油箱顶部,2.86,0.42,0.25,2.85,0.442,0.508,Tag 0,0.2591293113486006
2026-01-21 16:19:43.223,0.25,灭火器把手,2.84,0.69,0.5,2.85,0.442,0.508,Tag 0,0.24833042503889846
2026-01-21 16:19:43.223,0.35,油箱顶部,2.86,0.42,0.25,2.85,0.442,0.508,Tag 0,0.2591293113486006
2026-01-21 16:19:43.273,0.25,灭火器把手,2.84,0.69,0.5,2.845,0.449,0.508,Tag 0,0.2411845766213088
2026-01-21 16:19:43.273,0.35,油箱顶部,2.86,0.42,0.25,2.845,0.449,0.508,Tag 0,0.2600576859083384
2026-01-21 16:19:43.322,0.25,灭火器把手,2.84,0.69,0.5,2.845,0.449,0.508,Tag 0,0.2411845766213088
2026-01-21 16:19:43.322,0.35,油箱顶部,2.86,0.42,0.25,2.845,0.449,0.508,Tag 0,0.2600576859083384
2026-01-21 16:19:43.372,0.25,灭火器把手,2.84,0.69,0.5,2.838,0.455,0.515,Tag 0,0.2354867299870631
2026-01-21 16:19:43.372,0.35,油箱顶部,2.86,0.42,0.25,2.838,0.455,0.515,Tag 0,0.26820514536451384
2026-01-21 16:19:43.423,0.25,灭火器把手,2.84,0.69,0.5,2.838,0.455,0.515,Tag 0,0.2354867299870631
2026-01-21 16:19:43.423,0.35,油箱顶部,2.86,0.42,0.25,2.838,0.455,0.515,Tag 0,0.26820514536451384
2026-01-21 16:19:43.473,0.25,灭火器把手,2.84,0.69,0.5,2.829,0.462,0.533,Tag 0,0.23063824487712345
2026-01-21 16:19:43.473,0.35,油箱顶部,2.86,0.42,0.25,2.829,0.462,0.533,Tag 0,0.2877742170521883
2026-01-21 16:19:43.523,0.25,灭火器把手,2.84,0.69,0.5,2.829,0.462,0.533,Tag 0,0.23063824487712345
2026-01-21 16:19:43.523,0.35,油箱顶部,2.86,0.42,0.25,2.829,0.462,0.533,Tag 0,0.2877742170521883
2026-01-21 16:19:43.573,0.25,灭火器把手,2.84,0.69,0.5,2.818,0.473,0.556,Tag 0,0.22518658929874127
2026-01-21 16:19:43.573,0.35,油箱顶部,2.86,0.42,0.25,2.818,0.473,0.556,Tag 0,0.31338315206788003
2026-01-21 16:19:43.623,0.25,灭火器把手,2.84,0.69,0.5,2.818,0.473,0.556,Tag 0,0.22518658929874127
2026-01-21 16:19:43.623,0.35,油箱顶部,2.86,0.42,0.25,2.818,0.473,0.556,Tag 0,0.31338315206788003
2026-01-21 16:19:43.672,0.25,灭火器把手,2.84,0.69,0.5,2.806,0.482,0.584,Tag 0,0.22688322987827894
2026-01-21 16:19:43.672,0.35,油箱顶部,2.86,0.42,0.25,2.806,0.482,0.584,Tag 0,0.3439709290041819
2026-01-21 16:19:43.722,0.25,灭火器把手,2.84,0.69,0.5,2.806,0.482,0.584,Tag 0,0.22688322987827894
2026-01-21 16:19:43.722,0.35,油箱顶部,2.86,0.42,0.25,2.806,0.482,0.584,Tag 0,0.3439709290041819
2026-01-21 16:19:43.774,0.25,灭火器把手,2.84,0.69,0.5,2.793,0.493,0.612,Tag 0,0.23143465600467006
2026-01-21 16:19:43.822,0.25,灭火器把手,2.84,0.69,0.5,2.793,0.493,0.612,Tag 0,0.23143465600467006
2026-01-21 16:19:43.874,0.25,灭火器把手,2.84,0.69,0.5,2.781,0.503,0.635,Tag 0,0.23806511714234815
2026-01-21 16:19:43.922,0.25,灭火器把手,2.84,0.69,0.5,2.781,0.503,0.635,Tag 0,0.23806511714234815
2026-01-21 16:19:43.973,0.25,灭火器把手,2.84,0.69,0.5,2.773,0.513,0.66,Tag 0,0.2478265522497538
2026-01-21 16:19:47.773,0.35,油箱顶部,2.86,0.42,0.25,2.757,0.146,0.39,Tag 0,0.3244765014604293
2026-01-21 16:19:47.823,0.35,油箱顶部,2.86,0.42,0.25,2.757,0.146,0.39,Tag 0,0.3244765014604293
2026-01-21 16:19:47.872,0.35,油箱顶部,2.86,0.42,0.25,2.775,0.154,0.367,Tag 0,0.3027705401785319
2026-01-21 16:19:47.924,0.35,油箱顶部,2.86,0.42,0.25,2.775,0.154,0.367,Tag 0,0.3027705401785319
