时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号
11:26.2,0.3,灭火器把手,2.84,0.69,0.5,2.679,0.631,0.729,T1
11:26.3,0.3,灭火器把手,2.84,0.69,0.5,2.692,0.622,0.686,T1
11:26.4,0.3,灭火器把手,2.84,0.69,0.5,2.703,0.613,0.644,T1
11:26.5,0.3,灭火器把手,2.84,0.69,0.5,2.711,0.604,0.603,T1
11:26.6,0.3,灭火器把手,2.84,0.69,0.5,2.713,0.595,0.565,T1
11:26.7,0.3,灭火器把手,2.84,0.69,0.5,2.713,0.589,0.531,T1
11:26.8,0.3,灭火器把手,2.84,0.69,0.5,3.095,0.622,0.43,T0
11:26.8,0.3,灭火器把手,2.84,0.69,0.5,2.707,0.586,0.502,T1
11:26.9,0.3,灭火器把手,2.84,0.69,0.5,3.064,0.621,0.457,T0
11:26.9,0.3,灭火器把手,2.84,0.69,0.5,2.7,0.584,0.477,T1
11:27.0,0.3,灭火器把手,2.84,0.69,0.5,3.037,0.622,0.476,T0
11:27.0,0.3,灭火器把手,2.84,0.69,0.5,2.696,0.581,0.454,T1
11:27.1,0.3,灭火器把手,2.84,0.69,0.5,3.015,0.625,0.49,T0
11:27.1,0.3,油箱顶部,2.86,0.42,0.25,2.691,0.577,0.436,T1
11:27.1,0.3,灭火器把手,2.84,0.69,0.5,2.691,0.577,0.436,T1
11:27.2,0.3,灭火器把手,2.84,0.69,0.5,2.998,0.627,0.498,T0
11:27.2,0.3,油箱顶部,2.86,0.42,0.25,2.693,0.573,0.418,T1
11:27.2,0.3,灭火器把手,2.84,0.69,0.5,2.693,0.573,0.418,T1
11:27.3,0.3,灭火器把手,2.84,0.69,0.5,2.991,0.63,0.497,T0
11:27.3,0.3,油箱顶部,2.86,0.42,0.25,2.697,0.569,0.399,T1
11:27.3,0.3,灭火器把手,2.84,0.69,0.5,2.697,0.569,0.399,T1
11:27.4,0.3,灭火器把手,2.84,0.69,0.5,2.993,0.634,0.486,T0
11:27.4,0.3,油箱顶部,2.86,0.42,0.25,2.705,0.567,0.389,T1
11:27.4,0.3,灭火器把手,2.84,0.69,0.5,2.705,0.567,0.389,T1
11:27.5,0.3,灭火器把手,2.84,0.69,0.5,3.004,0.64,0.465,T0
11:27.5,0.3,油箱顶部,2.86,0.42,0.25,2.717,0.567,0.395,T1
11:27.5,0.3,灭火器把手,2.84,0.69,0.5,2.717,0.567,0.395,T1
11:27.6,0.3,灭火器把手,2.84,0.69,0.5,3.019,0.646,0.432,T0
11:27.6,0.3,油箱顶部,2.86,0.42,0.25,2.716,0.583,0.447,T1
11:27.6,0.3,灭火器把手,2.84,0.69,0.5,2.716,0.583,0.447,T1
11:27.7,0.3,灭火器把手,2.84,0.69,0.5,3.033,0.653,0.392,T0
11:27.7,0.3,灭火器把手,2.84,0.69,0.5,2.717,0.605,0.501,T1
11:27.8,0.3,灭火器把手,2.84,0.69,0.5,3.052,0.663,0.34,T0
11:27.8,0.3,灭火器把手,2.84,0.69,0.5,2.72,0.625,0.551,T1
11:27.9,0.3,灭火器把手,2.84,0.69,0.5,2.727,0.646,0.597,T1
11:28.0,0.3,灭火器把手,2.84,0.69,0.5,2.736,0.662,0.632,T1
11:28.1,0.3,灭火器把手,2.84,0.69,0.5,2.75,0.677,0.65,T1
11:28.2,0.3,灭火器把手,2.84,0.69,0.5,2.779,0.675,0.618,T1
11:28.3,0.3,灭火器把手,2.84,0.69,0.5,2.808,0.672,0.575,T1
11:28.4,0.3,灭火器把手,2.84,0.69,0.5,2.833,0.672,0.538,T1
11:28.5,0.3,灭火器把手,2.84,0.69,0.5,2.853,0.675,0.514,T1
11:28.6,0.3,灭火器把手,2.84,0.69,0.5,2.867,0.68,0.494,T1
11:28.7,0.3,灭火器把手,2.84,0.69,0.5,2.875,0.682,0.477,T1
11:28.8,0.3,灭火器把手,2.84,0.69,0.5,2.877,0.682,0.466,T1
11:28.9,0.3,灭火器把手,2.84,0.69,0.5,2.875,0.679,0.46,T1
11:29.0,0.3,灭火器把手,2.84,0.69,0.5,2.87,0.674,0.457,T1
11:29.1,0.3,灭火器把手,2.84,0.69,0.5,2.865,0.666,0.446,T1
11:29.2,0.3,灭火器把手,2.84,0.69,0.5,2.859,0.66,0.438,T1
