rangetime(ms),tag_ID,x(m),y(m),z(m),range0(m),range1(m),range2(m),range3(m),range4(m),range5(m),range6(m),range7(m),rx_pwr(dBm),accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll,pitch,yaw,
2026-01-21 15:26:13.505,Tag 0,2.766,-1.145,0.000,2.92,1.02,3.91,3.37,2.44,0.99,3.28,3.40,-78.20,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:13.604,Tag 0,2.753,-1.131,-0.000,2.92,1.02,3.88,3.38,2.44,1.00,3.21,3.40,-78.10,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:13.703,Tag 0,2.740,-1.126,0.000,2.91,null,3.96,3.38,2.43,1.00,3.16,3.40,-78.16,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:13.804,Tag 0,2.412,-0.826,0.449,2.90,1.02,4.03,3.38,2.43,0.99,3.12,3.40,-78.27,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:13.904,Tag 0,2.398,-0.843,0.449,2.89,1.02,3.96,3.37,2.43,1.00,3.09,3.39,-78.28,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:14.004,Tag 0,2.389,-0.848,0.449,2.87,1.02,4.03,3.38,2.43,1.01,3.06,3.39,-78.17,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:14.103,Tag 0,2.379,-0.862,0.449,2.85,1.01,3.97,3.37,2.44,1.01,3.04,3.40,-78.22,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:14.203,Tag 0,2.369,-0.862,0.449,2.84,1.00,4.03,3.39,2.44,1.01,3.02,3.40,-78.14,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:14.304,Tag 0,2.354,-0.869,0.449,2.83,0.98,4.08,3.40,2.45,1.01,3.00,3.40,-78.28,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:26.726,Tag 0,2.656,-1.184,0.000,2.83,0.98,4.11,3.40,2.45,1.01,2.98,3.40,-78.66,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:26.804,Tag 0,2.646,-1.186,0.000,2.75,1.02,3.90,3.42,2.47,1.04,2.96,3.37,-77.87,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:26.902,Tag 0,2.629,-1.175,-0.000,2.69,1.07,3.71,3.44,2.46,1.09,2.96,3.35,-77.53,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:27.003,Tag 0,2.605,-1.147,-0.000,2.65,1.11,3.54,3.44,2.44,1.12,2.95,3.35,-78.30,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:27.103,Tag 0,2.573,-1.109,0.030,2.60,1.14,3.41,3.39,2.40,1.17,2.92,3.32,-78.25,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:27.203,Tag 0,2.537,-1.036,0.131,2.58,1.38,3.29,3.36,2.37,1.23,3.02,3.31,-78.14,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:27.302,Tag 0,2.481,-0.914,0.311,2.58,1.38,3.19,3.30,2.35,1.27,2.97,3.29,-78.59,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:27.403,Tag 0,2.426,-0.766,0.498,2.57,1.52,3.09,3.25,2.35,1.32,2.93,3.27,-78.79,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:27.503,Tag 0,2.367,-0.603,0.713,2.58,1.71,3.01,3.21,2.35,1.34,2.89,3.25,-78.60,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:27.603,Tag 0,2.301,-0.418,0.955,2.60,1.81,2.94,3.19,2.35,1.36,2.87,3.22,-78.40,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:27.802,Tag 0,2.238,-0.224,1.178,2.63,1.94,2.88,3.18,2.35,1.33,2.84,3.21,-78.45,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:27.902,Tag 0,2.175,-0.034,1.346,2.64,2.19,2.83,3.18,2.36,1.32,2.81,3.22,-78.59,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:28.002,Tag 0,2.105,0.151,1.456,2.64,2.33,2.80,3.20,2.38,1.30,2.79,3.21,-78.85,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:28.103,Tag 0,2.018,0.341,1.566,2.63,2.93,2.77,3.21,2.40,1.29,2.77,3.22,-78.83,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:28.202,Tag 0,1.855,0.605,1.653,2.61,2.87,2.76,3.23,2.41,1.27,2.77,3.24,-78.63,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:28.302,Tag 0,1.714,0.826,1.709,2.58,3.10,2.75,3.25,2.40,1.26,2.76,3.26,-78.52,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:28.403,Tag 0,1.537,1.067,1.732,2.53,2.95,2.75,3.27,2.40,1.24,2.76,3.28,-78.97,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:28.503,Tag 0,1.385,1.252,1.744,2.48,2.88,2.75,3.30,2.40,1.25,2.76,3.31,-78.46,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:28.603,Tag 0,1.265,1.382,1.732,2.44,2.82,2.76,3.32,null,1.25,2.79,3.32,-78.40,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:28.703,Tag 0,1.166,1.472,1.708,2.39,2.58,2.76,3.33,2.40,1.25,2.80,3.32,-78.65,0,0,0,0,0,0,0,0,0,0,0,0,,
2026-01-21 15:26:28.803,Tag 0,1.186,1.411,1.680,2.36,2.35,2.76,3.33,2.41,1.26,2.81,3.33,-78.80,0,0,0,0,0,0,0,0,0,0,0,0,,
