时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号,
"2026-01-21 15:26:30.702",0.500,"灭火器把手",2.840,0.690,0.500,2.616,0.388,0.763,"T0",
"2026-01-21 15:26:30.802",0.500,"灭火器把手",2.840,0.690,0.500,2.657,0.396,0.739,"T0",
"2026-01-21 15:26:30.902",0.500,"灭火器把手",2.840,0.690,0.500,2.694,0.405,0.722,"T0",
"2026-01-21 15:26:31.002",0.500,"油箱顶部",2.860,0.420,0.250,2.724,0.415,0.714,"T0",
"2026-01-21 15:26:31.002",0.500,"灭火器把手",2.840,0.690,0.500,2.724,0.415,0.714,"T0",
"2026-01-21 15:26:31.100",0.500,"油箱顶部",2.860,0.420,0.250,2.750,0.428,0.709,"T0",
"2026-01-21 15:26:31.102",0.500,"灭火器把手",2.840,0.690,0.500,2.750,0.428,0.709,"T0",
"2026-01-21 15:26:31.201",0.500,"油箱顶部",2.860,0.420,0.250,2.769,0.444,0.712,"T0",
"2026-01-21 15:26:31.201",0.500,"灭火器把手",2.840,0.690,0.500,2.769,0.444,0.712,"T0",
"2026-01-21 15:26:31.303",0.500,"油箱顶部",2.860,0.420,0.250,2.785,0.459,0.714,"T0",
"2026-01-21 15:26:31.303",0.500,"灭火器把手",2.840,0.690,0.500,2.785,0.459,0.714,"T0",
"2026-01-21 15:26:31.402",0.500,"油箱顶部",2.860,0.420,0.250,2.795,0.472,0.720,"T0",
"2026-01-21 15:26:31.402",0.500,"灭火器把手",2.840,0.690,0.500,2.795,0.472,0.720,"T0",
"2026-01-21 15:26:31.502",0.500,"油箱顶部",2.860,0.420,0.250,2.798,0.482,0.724,"T0",
"2026-01-21 15:26:31.502",0.500,"灭火器把手",2.840,0.690,0.500,2.798,0.482,0.724,"T0",
"2026-01-21 15:26:31.602",0.500,"油箱顶部",2.860,0.420,0.250,2.790,0.494,0.739,"T0",
"2026-01-21 15:26:31.602",0.500,"灭火器把手",2.840,0.690,0.500,2.790,0.494,0.739,"T0",
"2026-01-21 15:26:31.701",0.500,"灭火器把手",2.840,0.690,0.500,2.774,0.502,0.761,"T0",
"2026-01-21 15:26:31.802",0.500,"灭火器把手",2.840,0.690,0.500,2.754,0.499,0.787,"T0",
"2026-01-21 15:26:31.902",0.500,"灭火器把手",2.840,0.690,0.500,2.730,0.495,0.815,"T0",
"2026-01-21 15:26:32.002",0.500,"灭火器把手",2.840,0.690,0.500,2.703,0.494,0.847,"T0",
"2026-01-21 15:26:32.102",0.500,"灭火器把手",2.840,0.690,0.500,2.678,0.490,0.894,"T0",
"2026-01-21 15:26:39.101",0.500,"灭火器把手",2.840,0.690,0.500,2.689,0.606,0.957,"T0",
"2026-01-21 15:26:39.201",0.500,"灭火器把手",2.840,0.690,0.500,2.713,0.586,0.914,"T0",
"2026-01-21 15:26:39.304",0.500,"灭火器把手",2.840,0.690,0.500,2.729,0.572,0.883,"T0",
"2026-01-21 15:26:39.402",0.500,"灭火器把手",2.840,0.690,0.500,2.740,0.563,0.862,"T0",
"2026-01-21 15:26:39.501",0.500,"灭火器把手",2.840,0.690,0.500,2.749,0.558,0.845,"T0",
"2026-01-21 15:26:39.602",0.500,"灭火器把手",2.840,0.690,0.500,2.757,0.553,0.835,"T0",
"2026-01-21 15:26:39.701",0.500,"灭火器把手",2.840,0.690,0.500,2.763,0.551,0.829,"T0",
"2026-01-21 15:26:39.802",0.500,"灭火器把手",2.840,0.690,0.500,2.770,0.552,0.829,"T0",
"2026-01-21 15:26:39.902",0.500,"灭火器把手",2.840,0.690,0.500,2.775,0.553,0.833,"T0",
"2026-01-21 15:26:40.001",0.500,"灭火器把手",2.840,0.690,0.500,2.780,0.557,0.843,"T0",
