contact_time,threshold_value,point_name,fixed_point_x,fixed_point_y,fixed_point_z,tag_x,tag_y,tag_z,tag_id,distance,distance_ratio
2026-01-21 15:27:16.602,0.5,焊机电源,1.45,2.1,0.39,1.51,2.048,0.846,Tag 0,0.46286067018056304,0.9257213403611261
2026-01-21 15:27:16.602,0.5,焊机电源,1.45,2.1,0.39,1.51,2.048,0.846,Tag 0,0.46286067018056304,0.9257213403611261
2026-01-21 15:27:16.702,0.5,焊机电源,1.45,2.1,0.39,1.519,2.05,0.824,Tag 0,0.44228610649668837,0.8845722129933767
2026-01-21 15:27:16.702,0.5,焊机电源,1.45,2.1,0.39,1.519,2.05,0.824,Tag 0,0.44228610649668837,0.8845722129933767
2026-01-21 15:27:16.801,0.5,焊机电源,1.45,2.1,0.39,1.502,2.076,0.784,Tag 0,0.39814067865517083,0.7962813573103417
2026-01-21 15:27:16.801,0.5,焊机电源,1.45,2.1,0.39,1.502,2.076,0.784,Tag 0,0.39814067865517083,0.7962813573103417
2026-01-21 15:27:16.901,0.5,焊机电源,1.45,2.1,0.39,1.466,2.121,0.717,Tag 0,0.32806401814280084,0.6561280362856017
2026-01-21 15:27:16.901,0.5,焊机电源,1.45,2.1,0.39,1.466,2.121,0.717,Tag 0,0.32806401814280084,0.6561280362856017
2026-01-21 15:27:17.003,0.5,焊机电源,1.45,2.1,0.39,1.442,2.15,0.691,Tag 0,0.305229421910798,0.610458843821596
2026-01-21 15:27:17.003,0.5,焊机电源,1.45,2.1,0.39,1.442,2.15,0.691,Tag 0,0.305229421910798,0.610458843821596
2026-01-21 15:27:17.101,0.5,焊机电源,1.45,2.1,0.39,1.404,2.2,0.609,Tag 0,0.24510609947530887,0.49021219895061774
2026-01-21 15:27:17.101,0.5,焊机电源,1.45,2.1,0.39,1.404,2.2,0.609,Tag 0,0.24510609947530887,0.49021219895061774
2026-01-21 15:27:17.201,0.5,焊机电源,1.45,2.1,0.39,1.369,2.247,0.562,Tag 0,0.24032061917363634,0.4806412383472727
2026-01-21 15:27:17.201,0.5,焊机电源,1.45,2.1,0.39,1.369,2.247,0.562,Tag 0,0.24032061917363634,0.4806412383472727
2026-01-21 15:27:17.301,0.5,焊机电源,1.45,2.1,0.39,1.334,2.295,0.538,Tag 0,0.27089665926326945,0.5417933185265389
2026-01-21 15:27:17.301,0.5,焊机电源,1.45,2.1,0.39,1.334,2.295,0.538,Tag 0,0.27089665926326945,0.5417933185265389
2026-01-21 15:27:17.401,0.5,焊机电源,1.45,2.1,0.39,1.331,2.299,0.579,Tag 0,0.2991370923172182,0.5982741846344364
2026-01-21 15:27:17.401,0.5,焊机电源,1.45,2.1,0.39,1.331,2.299,0.579,Tag 0,0.2991370923172182,0.5982741846344364
2026-01-21 15:27:17.502,0.5,焊机电源,1.45,2.1,0.39,1.346,2.272,0.67,Tag 0,0.3446737587922815,0.689347517584563
2026-01-21 15:27:17.502,0.5,焊机电源,1.45,2.1,0.39,1.346,2.272,0.67,Tag 0,0.3446737587922815,0.689347517584563
2026-01-21 15:27:17.602,0.5,焊机电源,1.45,2.1,0.39,1.35,2.251,0.744,Tag 0,0.397639283773623,0.795278567547246
2026-01-21 15:27:17.602,0.5,焊机电源,1.45,2.1,0.39,1.35,2.251,0.744,Tag 0,0.397639283773623,0.795278567547246
2026-01-21 15:27:27.600,0.5,接地夹下端,3.02,1.53,1.61,3.242,1.744,1.225,Tag 0,0.4932595665570005,0.986519133114001
